t217	*
t218	*
t219	*
t220	*
t221	*
t222	*
t223	*
t224	254
t225	*
t226	*
t227	*
t228	*
t229	341
t230	*
t231	*
t232	*
t233	*
t234	*
t235	*
t236	*
t237	*
t238	*
t239	*
t240	*
t241	*
t242	*
t243	*
t244	*
t245	*
t246	*
t247	216
t248	*
t249	*
t250	258
t251	*
t252	109
t253	*
t254	*
t255	*
t256	*
t257	*
t258	*
t259	*
t260	*
t261	*
t262	*
t263	*
t264	*
t265	240
t266	*
t267	*
t268	241
t269	*
t270	*
t271	*
t272	*
t273	*
t274	*
t275	*
t276	*
t277	*
t278	*
t279	*
t280	*
t281	*
t282	*
t283	*
t284	*
t285	*
t286	*
t287	*
t288	*
t289	*
t290	*
t291	*
t292	*
t293	*
t294	*
t295	*
t296	*
t297	*
t298	*
t299	*
t300	*
t301	*
t302	*
t303	*
t304	*
t305	*
t306	*
t307	*
t308	*
t309	*
t310	*
t311	*
t312	*
t313	*
t314	*
t315	*
t316	*
t317	216
t318	*
t319	*
t320	*
t321	*
t322	*
t323	*
t324	*
t325	*
t326	*
t327	*
t328	*
t329	367
t330	*
t331	*
t332	250
t333	*
t334	*
t335	*
t336	*
t337	*
t338	*
t339	*
t340	*
t341	*
t342	177
t343	*
t344	*
t345	*
t346	*
t347	*
t348	*
t349	*
t350	*
t351	243
t352	*
t353	*
t354	*
t355	*
t356	*
t357	248
t358	206
t359	*
t360	*
t361	*
t362	*
t363	*
t364	*
t365	*
t366	*
t367	*
t368	*
t369	*
t370	272
t371	*
t372	*
t373	*
t374	*
t375	*
t376	*
t377	*
t378	*
t379	289
t380	*
t381	*
t382	*
t383	*
t384	*
t385	*
t386	*
t387	*
t388	391
t389	257
t390	*
t391	*
t392	*
t393	200
t394	*
t395	*
t396	396
t397	*
t398	*
t399	98
t400	*
